Year Response Horror MorphForm Distance Helpee Verb Helper Year_new Distance_log
1994 Bare No help 3 Yes cross Inanim 4 1.09861228866811
1993 Bare Yes help 3 Yes create Missing 3 1.09861228866811
1992 Bare Yes help 3 Yes overcome Missing 2 1.09861228866811
1991 Bare No help 3 Yes search Inanim 1 1.09861228866811
2012 Bare No help 2 Yes understand Inanim 22 0.693147180559945
2012 Bare No help 2 Yes overcome Anim 22 0.693147180559945
2012 Bare No help 2 Yes put Anim 22 0.693147180559945
2012 Bare Yes help 2 Yes keep Missing 22 0.693147180559945
2012 Bare Yes help 2 Yes buffer Missing 22 0.693147180559945
2012 Bare Yes help 2 Yes start Missing 22 0.693147180559945
2012 Bare Yes help 2 Yes forge Missing 22 0.693147180559945
2012 Bare No help 2 Yes think Inanim 22 0.693147180559945
2012 Bare Yes help 2 Yes defend Missing 22 0.693147180559945
2012 Bare Yes help 2 Yes last Missing 22 0.693147180559945
2012 Bare No help 2 Yes choose Anim 22 0.693147180559945
2012 Bare No help 2 Yes keep Inanim 22 0.693147180559945
2012 Bare Yes help 2 Yes avoid Missing 22 0.693147180559945
2011 Bare No help 2 Yes reach Missing 21 0.693147180559945
2011 Bare No help 2 Yes beat Anim 21 0.693147180559945
2011 Bare No help 2 Yes stop Anim 21 0.693147180559945
2011 Bare Yes help 2 Yes feel Missing 21 0.693147180559945
2011 Bare Yes help 2 Yes make Anim 21 0.693147180559945
2011 Bare Yes help 2 Yes understand Missing 21 0.693147180559945
2011 Bare No help 2 Yes survive Inanim 21 0.693147180559945
2011 Bare No help 2 Yes develop Inanim 21 0.693147180559945
2011 Bare No help 2 Yes find Anim 21 0.693147180559945
2011 Bare No help 2 Yes steer Inanim 21 0.693147180559945
2011 Bare Yes help 2 Yes wind Missing 21 0.693147180559945
2011 Bare No help 2 Yes adjust Missing 21 0.693147180559945
2011 Bare Yes help 2 Yes find Anim 21 0.693147180559945
2011 Bare Yes help 2 Yes transcend Anim 21 0.693147180559945
2011 TO No help 2 Yes understand Inanim 21 0.693147180559945
2011 Bare Yes help 2 Yes draw Missing 21 0.693147180559945
2011 Bare Yes help 2 Yes avoid Anim 21 0.693147180559945
2011 Bare No help 2 Yes find Inanim 21 0.693147180559945
2011 Bare No help 2 Yes troubleshoot Inanim 21 0.693147180559945
2011 Bare No help 2 Yes establish Inanim 21 0.693147180559945
2011 Bare No help 2 Yes boost Inanim 21 0.693147180559945
2011 Bare No help 2 Yes maintain Inanim 21 0.693147180559945
2011 Bare Yes help 2 Yes be Missing 21 0.693147180559945
2011 Bare Yes help 2 Yes gather Missing 21 0.693147180559945
2011 Bare Yes help 2 Yes drop Missing 21 0.693147180559945
2011 Bare No help 2 Yes get Missing 21 0.693147180559945
2010 Bare Yes help 2 Yes regain Missing 20 0.693147180559945
2010 Bare No help 2 Yes pick Anim 20 0.693147180559945
2010 Bare No help 2 Yes improve Anim 20 0.693147180559945
2010 Bare Yes help 2 Yes get Missing 20 0.693147180559945
2010 TO No help 2 No loosen Inanim 20 0.693147180559945
2010 Bare No help 2 Yes understand Inanim 20 0.693147180559945
2010 Bare No help 2 Yes get Inanim 20 0.693147180559945
2010 Bare Yes help 2 Yes cope Missing 20 0.693147180559945
2010 Bare Yes help 2 Yes improve Anim 20 0.693147180559945
2010 Bare No help 2 Yes survive Inanim 20 0.693147180559945
2010 Bare No help 2 Yes keep Inanim 20 0.693147180559945
2010 Bare Yes help 2 Yes pay Missing 20 0.693147180559945
2010 Bare Yes help 2 Yes strengthen Anim 20 0.693147180559945
2010 Bare No help 2 Yes enjoy Inanim 20 0.693147180559945
2010 Bare No help 2 Yes pay Inanim 20 0.693147180559945
2010 Bare No help 2 Yes find Inanim 20 0.693147180559945
2010 Bare No help 2 Yes reach Inanim 20 0.693147180559945
2010 Bare No help 2 Yes get Inanim 20 0.693147180559945
2010 Bare Yes help 2 Yes survive Missing 20 0.693147180559945
2010 Bare Yes help 2 Yes get Missing 20 0.693147180559945
2010 Bare Yes help 2 Yes find Missing 20 0.693147180559945
2010 Bare No help 2 Yes avoid Missing 20 0.693147180559945
2009 Bare No help 2 Yes leg Inanim 19 0.693147180559945
2009 Bare Yes help 2 Yes drop Missing 19 0.693147180559945
2009 Bare Yes help 2 Yes start Anim 19 0.693147180559945
2009 Bare Yes help 2 Yes walk Missing 19 0.693147180559945
2009 Bare Yes help 2 Yes find Anim 19 0.693147180559945
2009 Bare Yes help 2 Yes grow Anim 19 0.693147180559945
2009 Bare Yes help 2 Yes drop Missing 19 0.693147180559945
2009 Bare No help 2 Yes perfect Anim 19 0.693147180559945
2009 Bare No help 2 Yes understand Inanim 19 0.693147180559945
2009 Bare No help 2 Yes connect Inanim 19 0.693147180559945
2009 TO No help 2 Yes confront Inanim 19 0.693147180559945
2009 Bare Yes help 2 Yes make Anim 19 0.693147180559945
2009 Bare No help 2 Yes find Anim 19 0.693147180559945
2009 Bare Yes help 2 Yes organize Anim 19 0.693147180559945
2009 Bare No help 2 Yes add Inanim 19 0.693147180559945
2009 Bare No help 2 Yes create Inanim 19 0.693147180559945
2009 Bare No help 2 Yes make Inanim 19 0.693147180559945
2009 Bare No help 2 Yes produce Inanim 19 0.693147180559945
2009 Bare No help 2 Yes find Inanim 19 0.693147180559945
2009 Bare Yes help 2 Yes keep Missing 19 0.693147180559945
2009 Bare Yes help 2 Yes climb Missing 19 0.693147180559945
2009 Bare Yes help 2 Yes navigate Missing 19 0.693147180559945
2008 Bare Yes help 2 Yes remember Missing 18 0.693147180559945
2008 Bare No help 2 Yes learn Missing 18 0.693147180559945
2008 Bare No help 2 Yes identify Anim 18 0.693147180559945
2008 Bare No help 2 Yes buy Anim 18 0.693147180559945
2008 Bare No help 2 Yes evaluate Inanim 18 0.693147180559945
2008 Bare Yes help 2 Yes rebound Anim 18 0.693147180559945
2008 Bare Yes help 2 Yes adjust Missing 18 0.693147180559945
2008 Bare Yes help 2 Yes remember Missing 18 0.693147180559945
2008 Bare No help 2 Yes travel Anim 18 0.693147180559945
2008 TO No help 2 Yes avoid Anim 18 0.693147180559945
2008 Bare No help 2 Yes find Anim 18 0.693147180559945
2008 Bare No help 2 Yes find Inanim 18 0.693147180559945
2008 Bare No help 2 Yes find Inanim 18 0.693147180559945
2008 Bare No help 2 Yes slim Inanim 18 0.693147180559945
2008 Bare No help 2 Yes face Inanim 18 0.693147180559945
2008 Bare Yes help 2 Yes let Missing 18 0.693147180559945
2008 Bare Yes help 2 Yes get Missing 18 0.693147180559945
2008 Bare Yes help 2 Yes preserve Missing 18 0.693147180559945
2008 Bare No help 2 Yes get Missing 18 0.693147180559945
2008 Bare Yes help 2 Yes remember Missing 18 0.693147180559945
2007 Bare Yes help 2 Yes hold Anim 17 0.693147180559945
2007 Bare No help 2 Yes think Inanim 17 0.693147180559945
2007 Bare No help 2 Yes reach Inanim 17 0.693147180559945
2007 Bare No help 2 Yes see Inanim 17 0.693147180559945
2007 Bare No help 2 Yes feel Anim 17 0.693147180559945
2007 Bare Yes help 2 Yes find Anim 17 0.693147180559945
2007 Bare No help 2 Yes settle Inanim 17 0.693147180559945
2007 Bare Yes help 2 Yes advance Missing 17 0.693147180559945
2007 Bare No help 2 Yes select Inanim 17 0.693147180559945
2007 Bare No help 2 Yes consolidate Inanim 17 0.693147180559945
2007 Bare Yes help 2 Yes keep Missing 17 0.693147180559945
2007 Bare No help 2 Yes outrun Anim 17 0.693147180559945
2007 Bare No help 2 Yes minimize Inanim 17 0.693147180559945
2007 Bare No help 2 Yes forget Inanim 17 0.693147180559945
2007 Bare No help 2 Yes shape Inanim 17 0.693147180559945
2007 Bare No help 2 Yes rethink Inanim 17 0.693147180559945
2007 Bare No help 2 Yes be Inanim 17 0.693147180559945
2007 Bare No help 2 Yes carry Inanim 17 0.693147180559945
2007 TO No help 2 Yes see Inanim 17 0.693147180559945
2007 Bare Yes help 2 Yes win Missing 17 0.693147180559945
2007 Bare Yes help 2 Yes figure Missing 17 0.693147180559945
2007 Bare Yes help 2 Yes take Missing 17 0.693147180559945
2006 TO No help 2 Yes keep Inanim 16 0.693147180559945
2006 Bare Yes help 2 Yes throw Anim 16 0.693147180559945
2006 Bare Yes help 2 Yes realize Missing 16 0.693147180559945
2006 Bare No help 2 Yes enjoy Anim 16 0.693147180559945
2006 Bare Yes help 2 Yes thrive Anim 16 0.693147180559945
2006 Bare No help 2 Yes make Anim 16 0.693147180559945
2006 Bare Yes help 2 Yes handle Anim 16 0.693147180559945
2006 Bare Yes help 2 Yes make Missing 16 0.693147180559945
2006 Bare Yes help 2 Yes make Missing 16 0.693147180559945
2006 Bare Yes help 2 Yes create Missing 16 0.693147180559945
2006 Bare No help 2 Yes understand Inanim 16 0.693147180559945
2006 Bare No help 2 Yes find Anim 16 0.693147180559945
2006 Bare No help 2 Yes tailor Anim 16 0.693147180559945
2006 TO No help 2 Yes consider Anim 16 0.693147180559945
2006 Bare No help 2 Yes get Anim 16 0.693147180559945
2006 Bare Yes help 2 Yes evaluate Anim 16 0.693147180559945
2006 Bare No help 2 Yes get Inanim 16 0.693147180559945
2006 Bare No help 2 Yes ascertain Inanim 16 0.693147180559945
2006 Bare No help 2 Yes change Inanim 16 0.693147180559945
2006 TO No help 2 Yes move Inanim 16 0.693147180559945
2006 Bare No help 2 Yes achieve Inanim 16 0.693147180559945
2006 Bare Yes help 2 Yes find Missing 16 0.693147180559945
2006 Bare Yes help 2 Yes carry Missing 16 0.693147180559945
2006 Bare Yes help 2 Yes lose Missing 16 0.693147180559945
2006 Bare Yes help 2 Yes put Missing 16 0.693147180559945
2006 Bare No help 2 Yes determine Missing 16 0.693147180559945
2006 Bare Yes help 2 Yes get Missing 16 0.693147180559945
2005 Bare Yes help 2 Yes start Anim 15 0.693147180559945
2005 Bare Yes help 2 Yes pick Anim 15 0.693147180559945
2005 Bare Yes help 2 Yes want Anim 15 0.693147180559945
2005 Bare Yes help 2 Yes get Anim 15 0.693147180559945
2005 TO No help 2 Yes see Inanim 15 0.693147180559945
2005 Bare No help 2 Yes sell Anim 15 0.693147180559945
2005 Bare Yes help 2 Yes find Anim 15 0.693147180559945
2005 Bare Yes help 2 Yes look Missing 15 0.693147180559945
2005 Bare No help 2 Yes overcome Inanim 15 0.693147180559945
2005 Bare Yes help 2 Yes find Missing 15 0.693147180559945
2005 Bare Yes help 2 Yes build Anim 15 0.693147180559945
2005 Bare No help 2 Yes move Inanim 15 0.693147180559945
2005 Bare No help 2 Yes slide Inanim 15 0.693147180559945
2005 Bare No help 2 Yes shift Inanim 15 0.693147180559945
2005 Bare No help 2 Yes fall Inanim 15 0.693147180559945
2005 Bare No help 2 Yes lose Inanim 15 0.693147180559945
2005 Bare No help 2 Yes succeed Inanim 15 0.693147180559945
2005 Bare No help 2 Yes forget Inanim 15 0.693147180559945
2005 Bare Yes help 2 Yes compare Missing 15 0.693147180559945
2005 Bare Yes help 2 Yes stay Missing 15 0.693147180559945
2005 Bare Yes help 2 Yes see Missing 15 0.693147180559945
2005 Bare Yes help 2 Yes stay Missing 15 0.693147180559945
2005 Bare Yes help 2 Yes afford Missing 15 0.693147180559945
2005 Bare Yes help 2 Yes find Missing 15 0.693147180559945
2004 Bare No help 2 Yes calm Anim 14 0.693147180559945
2004 Bare Yes help 2 Yes deal Missing 14 0.693147180559945
2004 Bare No help 2 Yes find Anim 14 0.693147180559945
2004 Bare Yes help 2 Yes rebuild Anim 14 0.693147180559945
2004 Bare No help 2 Yes think Inanim 14 0.693147180559945
2004 Bare No help 2 Yes stand Anim 14 0.693147180559945
2004 Bare Yes help 2 Yes get Missing 14 0.693147180559945
2004 Bare Yes help 2 Yes strengthen Anim 14 0.693147180559945
2004 Bare Yes help 2 Yes forget Missing 14 0.693147180559945
2004 Bare No help 2 Yes rebuild Anim 14 0.693147180559945
2004 TO No help 2 Yes make Anim 14 0.693147180559945
2004 Bare No help 2 Yes bring Anim 14 0.693147180559945
2004 Bare Yes help 2 Yes find Anim 14 0.693147180559945
2004 Bare No help 2 Yes arrange Anim 14 0.693147180559945
2004 Bare Yes help 2 Yes learn Anim 14 0.693147180559945
2004 Bare No help 2 Yes keep Inanim 14 0.693147180559945
2004 Bare No help 2 Yes figure Inanim 14 0.693147180559945
2004 Bare No help 2 Yes lose Inanim 14 0.693147180559945
2004 Bare No help 2 Yes focus Inanim 14 0.693147180559945
2004 Bare No help 2 Yes lose Inanim 14 0.693147180559945
2004 Bare Yes help 2 Yes lose Inanim 14 0.693147180559945
2004 Bare Yes help 2 Yes accept Missing 14 0.693147180559945
2004 Bare Yes help 2 Yes breathe Missing 14 0.693147180559945
2004 Bare Yes help 2 Yes locate Missing 14 0.693147180559945
2003 Bare Yes help 2 Yes relax Anim 13 0.693147180559945
2003 Bare No help 2 Yes realize Inanim 13 0.693147180559945
2003 Bare Yes help 2 Yes achieve Anim 13 0.693147180559945
2003 Bare No help 2 Yes negotiate Anim 13 0.693147180559945
2003 Bare No help 2 Yes buck Inanim 13 0.693147180559945
2003 Bare No help 2 Yes think Inanim 13 0.693147180559945
2003 Bare Yes help 2 Yes discover Anim 13 0.693147180559945
2003 TO No help 2 Yes learn Inanim 13 0.693147180559945
2003 Bare Yes help 2 Yes pick Anim 13 0.693147180559945
2003 Bare No help 2 Yes locate Anim 13 0.693147180559945
2003 Bare No help 2 Yes recognize Inanim 13 0.693147180559945
2003 Bare No help 2 Yes project Inanim 13 0.693147180559945
2003 Bare No help 2 Yes isolate Inanim 13 0.693147180559945
2003 Bare No help 2 Yes keep Inanim 13 0.693147180559945
2003 Bare No help 2 Yes create Inanim 13 0.693147180559945
2003 Bare No help 2 Yes get Inanim 13 0.693147180559945
2003 Bare No help 2 Yes choose Inanim 13 0.693147180559945
2003 Bare No help 2 Yes get Inanim 13 0.693147180559945
2003 Bare Yes help 2 Yes select Missing 13 0.693147180559945
2003 Bare Yes help 2 Yes find Missing 13 0.693147180559945
2003 Bare Yes help 2 Yes hit Missing 13 0.693147180559945
2003 Bare Yes help 2 Yes choose Missing 13 0.693147180559945
2003 Bare Yes help 2 Yes figure Missing 13 0.693147180559945
2002 Bare Yes help 2 Yes live Missing 12 0.693147180559945
2002 Bare No help 2 Yes solve Anim 12 0.693147180559945
2002 Bare No help 2 Yes cook Anim 12 0.693147180559945
2002 Bare No help 2 Yes identify Inanim 12 0.693147180559945
2002 Bare No help 2 Yes determine Inanim 12 0.693147180559945
2002 Bare Yes help 2 Yes overcome Missing 12 0.693147180559945
2002 Bare Yes help 2 Yes grow Missing 12 0.693147180559945
2002 Bare No help 2 Yes make Anim 12 0.693147180559945
2002 Bare Yes help 2 Yes boost Anim 12 0.693147180559945
2002 Bare Yes help 2 Yes get Anim 12 0.693147180559945
2002 Bare Yes help 2 Yes develop Anim 12 0.693147180559945
2002 Bare Yes help 2 Yes defeat Anim 12 0.693147180559945
2002 Bare No help 2 Yes respond Inanim 12 0.693147180559945
2002 Bare Yes help 2 Yes sort Missing 12 0.693147180559945
2002 Bare Yes help 2 Yes reconstruct Anim 12 0.693147180559945
2002 Bare No help 2 Yes calculate Anim 12 0.693147180559945
2002 Bare No help 2 Yes develop Inanim 12 0.693147180559945
2002 Bare No help 2 Yes handle Inanim 12 0.693147180559945
2002 Bare No help 2 Yes determine Inanim 12 0.693147180559945
2002 Bare No help 2 Yes lose Inanim 12 0.693147180559945
2002 Bare Yes help 2 Yes decorate Missing 12 0.693147180559945
2002 Bare Yes help 2 Yes be Missing 12 0.693147180559945
2001 Bare Yes help 2 Yes make Missing 11 0.693147180559945
2001 Bare Yes help 2 Yes realize Anim 11 0.693147180559945
2001 Bare Yes help 2 Yes maintain Missing 11 0.693147180559945
2001 Bare Yes help 2 Yes shed Anim 11 0.693147180559945
2001 Bare Yes help 2 Yes wake Missing 11 0.693147180559945
2001 Bare No help 2 Yes compose Anim 11 0.693147180559945
2001 TO No help 2 Yes succeed Anim 11 0.693147180559945
2001 Bare Yes help 2 Yes get Anim 11 0.693147180559945
2001 Bare No help 2 Yes bulk Inanim 11 0.693147180559945
2001 Bare Yes help 2 Yes get Anim 11 0.693147180559945
2001 Bare Yes help 2 Yes measure Anim 11 0.693147180559945
2001 Bare No help 2 Yes celebrate Inanim 11 0.693147180559945
2001 Bare No help 2 Yes find Inanim 11 0.693147180559945
2001 Bare No help 2 Yes get Inanim 11 0.693147180559945
2001 TO No help 2 Yes achieve Inanim 11 0.693147180559945
2001 Bare No help 2 Yes organize Inanim 11 0.693147180559945
2001 TO No help 2 Yes see Inanim 11 0.693147180559945
2001 Bare Yes help 2 Yes learn Missing 11 0.693147180559945
2001 Bare Yes help 2 Yes judge Missing 11 0.693147180559945
2001 Bare Yes help 2 Yes lose Missing 11 0.693147180559945
2001 Bare Yes help 2 Yes relax Missing 11 0.693147180559945
2000 Bare No help 2 Yes overcome Inanim 10 0.693147180559945
2000 Bare Yes help 2 Yes perfect Missing 10 0.693147180559945
2000 Bare Yes help 2 Yes adjust Anim 10 0.693147180559945
2000 Bare Yes help 2 Yes glide Missing 10 0.693147180559945
2000 Bare Yes help 2 Yes get Missing 10 0.693147180559945
2000 Bare No help 2 Yes empathize Inanim 10 0.693147180559945
2000 Bare No help 2 Yes preserve Inanim 10 0.693147180559945
2000 Bare No help 2 Yes file Anim 10 0.693147180559945
2000 TO No help 2 Yes find Anim 10 0.693147180559945
2000 Bare Yes help 2 Yes pick Missing 10 0.693147180559945
2000 Bare Yes help 2 Yes get Missing 10 0.693147180559945
2000 Bare No help 2 Yes interpret Inanim 10 0.693147180559945
2000 Bare No help 2 Yes deflect Inanim 10 0.693147180559945
2000 TO No help 2 Yes wield Missing 10 0.693147180559945
2000 Bare Yes help 2 Yes get Anim 10 0.693147180559945
2000 Bare No help 2 Yes burn Inanim 10 0.693147180559945
2000 Bare No help 2 Yes print Inanim 10 0.693147180559945
2000 Bare Yes help 2 Yes decide Missing 10 0.693147180559945
2000 Bare Yes help 2 Yes pick Missing 10 0.693147180559945
2000 Bare Yes help 2 Yes learn Missing 10 0.693147180559945
2000 Bare Yes help 2 Yes put Missing 10 0.693147180559945
2000 Bare Yes help 2 Yes climb Missing 10 0.693147180559945
1999 Bare Yes help 2 Yes manage Anim 9 0.693147180559945
1999 Bare Yes help 2 Yes subdue Anim 9 0.693147180559945
1999 Bare Yes help 2 Yes look Anim 9 0.693147180559945
1999 Bare Yes help 2 Yes dry Missing 9 0.693147180559945
1999 Bare No help 2 Yes cook Anim 9 0.693147180559945
1999 Bare No help 2 Yes stop Anim 9 0.693147180559945
1999 Bare Yes help 2 Yes win Anim 9 0.693147180559945
1999 Bare Yes help 2 Yes understand Anim 9 0.693147180559945
1999 Bare Yes help 2 Yes return Anim 9 0.693147180559945
1999 Bare Yes help 2 Yes pick Anim 9 0.693147180559945
1999 Bare No help 2 Yes traverse Inanim 9 0.693147180559945
1999 Bare Yes help 2 Yes withstand Missing 9 0.693147180559945
1999 Bare Yes help 2 Yes breathe Missing 9 0.693147180559945
1999 Bare Yes help 2 Yes bring Anim 9 0.693147180559945
1999 TO No help 2 Yes understand Inanim 9 0.693147180559945
1999 Bare Yes help 2 Yes imagine Inanim 9 0.693147180559945
1999 Bare No help 2 Yes lose Inanim 9 0.693147180559945
1999 Bare No help 2 Yes figure Inanim 9 0.693147180559945
1999 TO No help 2 Yes meet Inanim 9 0.693147180559945
1999 Bare No help 2 Yes grow Anim 9 0.693147180559945
1999 Bare Yes help 2 Yes get Missing 9 0.693147180559945
1999 Bare Yes help 2 Yes see Missing 9 0.693147180559945
1999 Bare Yes help 2 Yes compare Missing 9 0.693147180559945
1999 Bare Yes help 2 Yes find Missing 9 0.693147180559945
1999 Bare Yes help 2 Yes create Missing 9 0.693147180559945
1998 Bare Yes help 2 Yes shape Missing 8 0.693147180559945
1998 Bare Yes help 2 Yes realize Missing 8 0.693147180559945
1998 Bare Yes help 2 Yes water Anim 8 0.693147180559945
1998 Bare Yes help 2 Yes avoid Missing 8 0.693147180559945
1998 Bare Yes help 2 Yes face Missing 8 0.693147180559945
1998 Bare Yes help 2 Yes reframe Anim 8 0.693147180559945
1998 Bare No help 2 Yes understand Inanim 8 0.693147180559945
1998 Bare No help 2 Yes feel Inanim 8 0.693147180559945
1998 Bare No help 2 Yes point Inanim 8 0.693147180559945
1998 Bare Yes help 2 Yes identify Missing 8 0.693147180559945
1998 Bare Yes help 2 Yes find Missing 8 0.693147180559945
1998 Bare No help 2 Yes gain Inanim 8 0.693147180559945
1998 Bare Yes help 2 Yes find Anim 8 0.693147180559945
1998 Bare No help 2 Yes come Inanim 8 0.693147180559945
1998 Bare No help 2 Yes broach Inanim 8 0.693147180559945
1998 Bare No help 2 Yes keep Inanim 8 0.693147180559945
1998 Bare No help 2 Yes keep Inanim 8 0.693147180559945
1998 Bare No help 2 Yes whip Inanim 8 0.693147180559945
1998 TO No help 2 Yes reverse Inanim 8 0.693147180559945
1998 Bare No help 2 Yes choose Inanim 8 0.693147180559945
1998 Bare No help 2 Yes lose Inanim 8 0.693147180559945
1998 Bare Yes help 2 Yes narrow Missing 8 0.693147180559945
1998 Bare Yes help 2 Yes get Missing 8 0.693147180559945
1998 Bare Yes help 2 Yes wind Missing 8 0.693147180559945
1997 Bare Yes help 2 Yes figure Anim 7 0.693147180559945
1997 Bare Yes help 2 Yes record Anim 7 0.693147180559945
1997 TO No help 2 Yes heal Inanim 7 0.693147180559945
1997 Bare Yes help 2 Yes avoid Missing 7 0.693147180559945
1997 Bare No help 2 Yes rule Inanim 7 0.693147180559945
1997 Bare Yes help 2 Yes reduce Missing 7 0.693147180559945
1997 Bare Yes help 2 Yes win Anim 7 0.693147180559945
1997 Bare No help 2 Yes find Anim 7 0.693147180559945
1997 Bare No help 2 Yes sift Anim 7 0.693147180559945
1997 Bare No help 2 Yes put Anim 7 0.693147180559945
1997 Bare Yes help 2 Yes do Anim 7 0.693147180559945
1997 Bare No help 2 Yes get Inanim 7 0.693147180559945
1997 Bare Yes help 2 Yes separate Missing 7 0.693147180559945
1997 Bare Yes help 2 Yes get Missing 7 0.693147180559945
1997 Bare Yes help 2 Yes develop Missing 7 0.693147180559945
1997 Bare Yes help 2 Yes change Missing 7 0.693147180559945
1997 Bare Yes help 2 Yes start Missing 7 0.693147180559945
1996 Bare No help 2 Yes build Anim 6 0.693147180559945
1996 TO No help 2 Yes hear Inanim 6 0.693147180559945
1996 Bare Yes help 2 Yes break Missing 6 0.693147180559945
1996 Bare No help 2 Yes die Anim 6 0.693147180559945
1996 Bare No help 2 Yes work Inanim 6 0.693147180559945
1996 Bare Yes help 2 Yes take Anim 6 0.693147180559945
1996 Bare No help 2 Yes think Inanim 6 0.693147180559945
1996 Bare No help 2 Yes win Anim 6 0.693147180559945
1996 Bare Yes help 2 Yes take Anim 6 0.693147180559945
1996 Bare No help 2 Yes explain Inanim 6 0.693147180559945
1996 Bare No help 2 Yes visualize Inanim 6 0.693147180559945
1996 Bare Yes help 2 Yes stay Missing 6 0.693147180559945
1996 Bare Yes help 2 Yes realize Missing 6 0.693147180559945
1995 Bare No help 2 Yes settle Anim 5 0.693147180559945
1995 Bare Yes help 2 Yes get Missing 5 0.693147180559945
1995 Bare No help 2 Yes achieve Anim 5 0.693147180559945
1995 Bare No help 2 Yes get Inanim 5 0.693147180559945
1995 Bare Yes help 2 Yes achieve Anim 5 0.693147180559945
1995 Bare Yes help 2 Yes build Anim 5 0.693147180559945
1995 Bare No help 2 Yes address Anim 5 0.693147180559945
1995 Bare Yes help 2 Yes empower Anim 5 0.693147180559945
1995 Bare No help 2 Yes develop Inanim 5 0.693147180559945
1995 Bare No help 2 Yes chip Inanim 5 0.693147180559945
1995 TO No help 2 Yes relate Inanim 5 0.693147180559945
1995 Bare No help 2 Yes adjust Anim 5 0.693147180559945
1995 Bare Yes help 2 Yes build Anim 5 0.693147180559945
1995 Bare No help 2 Yes build Inanim 5 0.693147180559945
1995 Bare No help 2 Yes type Inanim 5 0.693147180559945
1995 Bare Yes help 2 Yes use Inanim 5 0.693147180559945
1995 Bare Yes help 2 Yes calculate Missing 5 0.693147180559945
1995 Bare No help 2 Yes avoid Missing 5 0.693147180559945
1995 Bare Yes help 2 Yes hold Missing 5 0.693147180559945
1994 Bare Yes help 2 Yes decide Missing 4 0.693147180559945
1994 Bare Yes help 2 Yes get Missing 4 0.693147180559945
1994 Bare Yes help 2 Yes make Missing 4 0.693147180559945
1994 Bare No help 2 Yes reconstruct Inanim 4 0.693147180559945
1994 Bare Yes help 2 Yes achieve Anim 4 0.693147180559945
1994 Bare No help 2 Yes investigate Inanim 4 0.693147180559945
